contrast,energy,homogenity,correlation,out
95.032597,0.97001591,0.981815306,0.898474834,NO-TUMOR
0.296294398,0.985289601,0.99406094,0.823591211,NO-TUMOR
24.56058121,0.976963056,0.986866192,0.851599308,NO-TUMOR
0.10219876,0.992009839,0.996644871,0.99966842,NO-TUMOR
150.9149967,0.959333912,0.970711593,0.917398415,NO-TUMOR
706.701553,0.679746296,0.971561104,0.978124428,NO-TUMOR
150.9149967,0.959333912,0.970711593,0.917398415,NO-TUMOR
30.16739275,0.979787647,0.983859295,0.209652329,NO-TUMOR
1.25362616,0.979768477,0.983608571,0.740152881,NO-TUMOR
0.36000205,0.987010998,0.989854098,0.994251316,NO-TUMOR
72.91804623,0.972742721,0.98119756,0.883736094,NO-TUMOR
32.04046435,0.975185509,0.983926598,0.903558874,TUMOR
106.9742709,0.887217274,0.913792716,0.98591814,TUMOR
1015.986392,0.890261793,0.908156392,0.874676186,TUMOR
29.51084004,0.980124211,0.989690715,0.924120996,TUMOR
332.6391779,0.979794792,0.98826345,0.660047233,TUMOR
82.54722977,0.962513189,0.967933462,0.951920902,TUMOR
175.1390241,0.915239852,0.935181174,0.974148134,TUMOR
183.8457024,0.897012912,0.90777002,0.97373426,TUMOR
155.8240992,0.907574352,0.934080801,0.979430711,TUMOR
58.68627953,0.972445317,0.981722803,0.873859005,TUMOR
62.04479524,0.984445017,0.987062148,0.941306098,TUMOR
131.0847214,0.968686998,0.973966446,0.948955149,TUMOR
859.673005,0.897322326,0.91673995,0.898336496,TUMOR
78.09030803,0.947912469,0.965177506,0.97461864,TUMOR
740.0192968,0.854649434,0.883195975,0.921106311,TUMOR
524.5418994,0.919595815,0.941645619,0.90113855,TUMOR
158.4620471,0.91024036,0.93362846,0.970069226,TUMOR
42.0923069,0.966427837,0.982951388,0.962049442,TUMOR
148.5785454,0.937853222,0.967760127,0.96875441,TUMOR
143.9555892,0.956229285,0.972812467,0.930923315,TUMOR
95.69668392,0.957761547,0.973932986,0.941353554,TUMOR
250.6944288,0.937865856,0.951031167,0.931964731,TUMOR
147.0431295,0.944887663,0.962180426,0.93680058,TUMOR
126.097176,0.926589807,0.947784579,0.97337533,TUMOR
429.7520629,0.90076043,0.913363039,0.93450196,TUMOR
551.482087,0.923519366,0.944858032,0.891968895,TUMOR
1211.123674,0.756451389,0.7977892,0.908981345,TUMOR
566.3438829,0.956855415,0.965391211,0.821794314,TUMOR
101.1130644,0.961872511,0.970296822,0.936520207,TUMOR
168.9472093,0.90703471,0.929349063,0.977736561,TUMOR
357.2500641,0.942920464,0.958566189,0.897642421,TUMOR
311.7153657,0.933647342,0.949792237,0.929589438,TUMOR
55.69201989,0.971480869,0.981522338,0.935982517,TUMOR
0.462867101,0.979801972,0.98886276,0.587669458,TUMOR
89.98308646,0.936995908,0.953906868,0.967119452,TUMOR
38.18720209,0.976443443,0.984912889,0.834309986,TUMOR
